"INTNR","kvotgrupp","BG_COUNTRY","BG_Gender","BG_Age","AGE_ITA","MUN_ITA","NUTS2","lik_airp","imp_ind_airp","imp_oth_airp","prep_aut_airp","prep_ind_airp","know_aut_airp","know_ind_airp","exper_airp","work","education","income","politic","smoke","lik_airp_rel","imp_ind_airp_rel","we","PM10_mean"
1773,"Italien riksrep",1,1,"1",3,16,NA,5,5,5,2,1,2,2,0,1,0,0,1,0,1.92307692307692,1.11111111111111,0.90260106,21.4124740394816
1721,"Italien riksrep",1,1,"1",3,16,NA,4,4,4,2,1,2,1,1,1,1,0,1,0,2.11764705882353,1.47368421052632,0.90260106,21.4124740394816
1866,"Italien riksrep",1,1,"2",4,11,NA,4,3,4,3,5,3,3,1,1,0,1,0,0,1.9047619047619,1.5,0.90260106,23.4639123482115
1724,"Italien riksrep",1,1,"2",3,8,NA,5,4,5,4,4,3,3,0,0,1,1,2,1,1.38888888888889,0.952380952380952,0.90260106,25.3944252589319
1839,"Italien riksrep",1,1,"2",4,8,NA,4,4,4,2,3,3,3,0,0,0,1,1,0,2.10526315789474,1.66666666666667,0.90260106,25.3944252589319
1807,"Italien riksrep",1,1,"2",4,6,NA,5,5,NA,5,NA,5,1,NA,0,0,1,NA,0,NA,1.25,0.90260106,30.6782977878343
1756,"Italien riksrep",1,1,"2",4,6,NA,2,3,3,2,3,2,2,0,0,1,1,1,1,1.42857142857143,1.66666666666667,0.90260106,30.6782977878343
1686,"Italien riksrep",1,1,"1",3,15,NA,3,NA,4,NA,4,5,3,0,1,0,0,NA,0,NA,NA,0.90260106,24.2004089824606
1720,"Italien riksrep",1,1,"2",4,15,NA,5,5,5,2,3,2,3,1,0,0,1,1,0,1.66666666666667,1.66666666666667,0.90260106,24.2004089824606
1694,"Italien riksrep",1,1,"2",4,16,NA,5,5,5,2,2,2,4,1,0,0,1,1,0,1.42857142857143,1.31578947368421,0.90260106,21.4124740394816
1765,"Italien riksrep",1,1,"2",4,16,NA,5,5,5,5,2,1,1,0,0,0,0,0,1,1.85185185185185,1.78571428571429,0.90260106,21.4124740394816
1739,"Italien riksrep",1,1,"1",3,16,NA,4,4,4,3,2,2,3,1,0,0,1,2,1,1.6,1.42857142857143,0.90260106,21.4124740394816
1875,"Italien riksrep",1,0,"0",1,9,NA,5,4,4,1,5,3,5,1,0,1,0,1,1,2.08333333333333,1.02564102564103,0.90260106,20.6309126790573
1698,"Italien riksrep",1,0,"0",1,4,NA,3,3,2,3,3,3,4,1,0,0,1,NA,1,2,1.125,0.90260106,29.9320686058126
1682,"Italien riksrep",1,0,"0",1,4,NA,3,2,2,2,2,2,2,1,1,0,1,0,0,1.42857142857143,1,0.90260106,29.9320686058126
2017,"Italien riksrep",1,0,"0",1,16,NA,5,5,5,2,2,4,5,1,0,0,0,NA,0,1.35135135135135,1.21951219512195,0.90260106,21.4124740394816
1794,"Italien riksrep",1,0,"0",1,16,NA,5,5,5,3,3,3,4,1,1,1,1,0,0,1.51515151515152,1.21951219512195,0.90260106,21.4124740394816
1977,"Italien riksrep",1,0,"0",2,9,NA,4,4,4,3,4,5,4,0,1,0,1,1,0,1.9047619047619,1.48148148148148,0.90260106,20.6309126790573
1813,"Italien riksrep",1,0,"0",2,6,NA,4,4,5,1,1,3,3,1,0,1,0,2,0,1.14285714285714,1.14285714285714,0.90260106,30.6782977878343
1703,"Italien riksrep",1,0,"0",2,6,NA,2,5,5,2,2,2,2,0,1,0,0,NA,1,1.05263157894737,1.11111111111111,0.90260106,30.6782977878343
1681,"Italien riksrep",1,0,"0",2,15,NA,3,4,4,3,4,3,3,0,1,0,1,1,0,1,1.53846153846154,0.90260106,24.2004089824606
1693,"Italien riksrep",1,0,"1",2,9,NA,5,3,4,2,2,3,3,0,0,0,1,2,0,1.72413793103448,1.2,0.90260106,20.6309126790573
1692,"Italien riksrep",1,0,"1",2,8,NA,3,4,5,3,2,2,2,0,1,0,1,1,0,1.03448275862069,1.08108108108108,0.90260106,25.3944252589319
1849,"Italien riksrep",1,0,"1",2,4,NA,4,3,4,3,3,4,3,0,0,0,1,0,1,1.53846153846154,1,0.90260106,29.9320686058126
1718,"Italien riksrep",1,0,"1",3,4,NA,5,5,5,3,3,4,2,0,1,0,1,1,1,1.47058823529412,1.35135135135135,0.90260106,29.9320686058126
1772,"Italien riksrep",1,0,"1",2,1,NA,5,4,4,2,3,2,4,1,1,1,1,1,1,1.78571428571429,1.11111111111111,0.90260106,27.9600902352672
1709,"Italien riksrep",1,0,"1",3,1,NA,5,5,5,2,3,2,3,1,1,0,1,2,0,1.61290322580645,1.38888888888889,0.90260106,27.9600902352672
1785,"Italien riksrep",1,0,"1",3,18,NA,5,5,5,1,1,5,1,0,1,0,1,1,1,NA,1.16279069767442,0.90260106,20.7878009348761
1786,"Italien riksrep",1,0,"1",3,15,NA,5,5,5,2,2,4,3,1,1,0,1,NA,0,1.66666666666667,NA,0.90260106,24.2004089824606
1680,"Italien riksrep",1,0,"2",4,9,NA,5,5,5,1,1,NA,3,1,1,1,1,1,0,1.85185185185185,1.66666666666667,0.90260106,20.6309126790573
1823,"Italien riksrep",1,0,"1",3,9,NA,4,4,4,3,3,3,3,1,1,0,1,1,1,1.9047619047619,1.88235294117647,0.90260106,20.6309126790573
1733,"Italien riksrep",1,0,"1",3,9,NA,5,5,5,2,2,2,3,1,1,1,0,1,1,1.47058823529412,1.11111111111111,0.90260106,20.6309126790573
1695,"Italien riksrep",1,0,"2",4,3,NA,4,4,5,4,1,3,2,0,0,1,1,2,0,1.42857142857143,1.29032258064516,0.90260106,16.8455022740387
1782,"Italien riksrep",1,0,"1",3,15,NA,3,4,4,3,3,4,3,1,0,0,1,1,0,1,1.33333333333333,0.90260106,24.2004089824606
1862,"Italien riksrep",1,0,"1",3,3,NA,3,3,4,3,3,3,4,0,1,0,1,NA,1,1.25,1.5,0.90260106,16.8455022740387
1732,"Italien riksrep",1,0,"1",3,15,NA,5,5,5,3,2,4,3,1,0,1,1,0,1,2.08333333333333,1.28205128205128,0.90260106,24.2004089824606
1911,"Italien riksrep",1,1,"0",1,4,NA,3,4,5,3,2,3,3,0,0,0,1,0,0,1.36363636363636,1,0.90260106,29.9320686058126
1988,"Italien riksrep",1,1,"0",1,16,NA,4,5,5,1,2,3,2,1,0,1,1,NA,0,1,1.31578947368421,0.90260106,21.4124740394816
1963,"Italien riksrep",1,1,"0",2,19,NA,3,3,3,3,3,3,3,0,1,1,1,NA,0,1.11111111111111,1.11111111111111,0.90260106,23.6267827677519
2002,"Italien riksrep",1,1,"0",2,6,NA,5,5,5,1,1,1,1,1,1,1,1,1,1,1.66666666666667,1.11111111111111,0.90260106,30.6782977878343
1982,"Italien riksrep",1,1,"0",2,4,NA,5,5,3,4,4,2,2,1,1,0,1,1,0,2.27272727272727,2.17391304347826,0.90260106,29.9320686058126
1946,"Italien riksrep",1,1,"0",2,15,NA,2,3,4,2,2,3,3,0,1,0,1,1,1,0.909090909090909,1,0.90260106,24.2004089824606
1905,"Italien riksrep",1,1,"0",2,6,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,1,2,0,NA,NA,0.90260106,30.6782977878343
1952,"Italien riksrep",1,1,"0",2,16,NA,5,5,5,1,3,4,4,1,1,1,1,1,0,1.72413793103448,1.53846153846154,0.90260106,21.4124740394816
1909,"Italien riksrep",1,1,"1",2,4,NA,2,2,3,2,2,2,3,1,1,0,1,2,0,1,0.833333333333333,0.90260106,29.9320686058126
2015,"Italien riksrep",1,1,"1",2,4,NA,5,5,5,1,2,1,1,0,1,0,NA,0,1,2.08333333333333,1.78571428571429,0.90260106,29.9320686058126
1956,"Italien riksrep",1,1,"1",2,4,NA,3,2,2,4,3,NA,3,0,1,0,1,2,0,1.66666666666667,0.740740740740741,0.90260106,29.9320686058126
1973,"Italien riksrep",1,1,"1",2,1,NA,4,3,3,2,2,2,3,1,1,1,1,1,0,1.53846153846154,1.30434782608696,0.90260106,27.9600902352672
1948,"Italien riksrep",1,1,"1",2,15,NA,5,4,5,2,4,3,4,1,0,0,1,1,1,2.5,1.21212121212121,0.90260106,24.2004089824606
1933,"Italien riksrep",1,1,"1",2,15,NA,5,3,5,3,3,3,3,0,1,1,1,1,1,1.51515151515152,0.967741935483871,0.90260106,24.2004089824606
2008,"Italien riksrep",1,1,"1",3,6,NA,2,2,3,1,2,1,3,1,1,0,NA,NA,1,0.952380952380952,1.05263157894737,0.90260106,30.6782977878343
1966,"Italien riksrep",1,1,"1",3,4,NA,2,1,3,3,2,2,4,0,1,0,1,2,0,1.66666666666667,0.909090909090909,0.90260106,29.9320686058126
1999,"Italien riksrep",1,1,"1",3,4,NA,3,NA,NA,3,3,4,3,0,1,0,1,NA,0,1.17391304347826,NA,0.90260106,29.9320686058126
1951,"Italien riksrep",1,1,"1",3,4,NA,4,4,4,1,2,2,3,1,1,0,0,NA,1,1.48148148148148,1.48148148148148,0.90260106,29.9320686058126
1967,"Italien riksrep",1,1,NA,3,16,NA,5,4,4,3,2,3,3,0,0,0,0,NA,0,1.73076923076923,1.21212121212121,0.90260106,21.4124740394816
2019,"Italien riksrep",1,1,"2",4,15,NA,4,4,4,3,3,3,4,1,0,0,1,0,0,1.6,1.33333333333333,0.90260106,24.2004089824606
1907,"Italien riksrep",1,0,"0",1,8,NA,4,5,5,4,3,2,4,1,1,0,1,1,0,1.6,1.40625,0.90260106,25.3944252589319
1906,"Italien riksrep",1,0,"0",2,15,NA,5,3,4,3,3,3,4,0,1,0,1,1,0,1.35135135135135,1.11111111111111,0.90260106,24.2004089824606
1908,"Italien riksrep",1,0,"1",2,4,NA,4,4,4,4,5,3,3,0,1,1,1,2,0,1.53846153846154,1.11111111111111,0.90260106,29.9320686058126
1912,"Italien riksrep",1,0,"1",2,15,NA,3,2,4,2,2,4,3,0,0,0,1,2,1,0.9375,0.769230769230769,0.90260106,24.2004089824606
1932,"Italien riksrep",1,0,"1",2,15,NA,NA,NA,4,3,NA,3,3,NA,1,0,1,1,1,NA,NA,0.90260106,24.2004089824606
1949,"Italien riksrep",1,0,"1",2,15,NA,4,5,5,2,3,1,4,1,0,1,1,1,0,1.66666666666667,1.11111111111111,0.90260106,24.2004089824606
2025,"Italien riksrep",1,0,"1",3,6,NA,4,4,5,1,1,2,1,1,1,0,1,2,1,1.53846153846154,1.21212121212121,0.90260106,30.6782977878343
2045,"Italien riksrep",1,0,"1",4,15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,1,NA,NA,0.90260106,24.2004089824606
1983,"Italien riksrep",1,0,"1",3,8,NA,3,4,5,3,3,3,4,1,1,0,1,1,0,1.30434782608696,1.89473684210526,0.90260106,25.3944252589319
12,"Italien riksrep",1,1,"0",1,9,NA,5,2,3,2,4,5,5,1,0,1,1,1,0,1.78571428571429,0.952380952380952,0.90260106,20.6309126790573
342,"Italien riksrep",1,1,"0",1,4,NA,4,5,3,3,3,2,4,1,0,0,1,NA,0,1.53846153846154,1.61290322580645,0.90260106,29.9320686058126
32,"Italien riksrep",1,1,"0",2,8,NA,5,5,5,2,2,3,4,1,0,0,0,1,1,1.5625,1.61290322580645,0.90260106,25.3944252589319
30,"Italien riksrep",1,1,"0",2,4,NA,4,3,5,1,3,1,3,0,1,0,0,2,0,1.33333333333333,1.11111111111111,0.90260106,29.9320686058126
2012,"Italien riksrep",1,1,"0",2,16,NA,5,4,5,3,2,3,3,1,1,0,0,NA,0,1.73076923076923,1.73913043478261,0.90260106,21.4124740394816
473,"Italien riksrep",1,1,"1",2,9,NA,1,3,5,5,5,5,5,0,0,0,1,0,1,1.11111111111111,1.42857142857143,0.90260106,20.6309126790573
1611,"Italien riksrep",1,1,"1",2,19,NA,5,4,5,2,2,3,3,1,1,1,1,2,0,1.55172413793103,1.16666666666667,0.90260106,23.6267827677519
31,"Italien riksrep",1,1,"1",3,8,NA,5,5,5,1,1,1,4,1,1,0,1,2,1,1.66666666666667,1.31578947368421,0.90260106,25.3944252589319
472,"Italien riksrep",1,1,"1",3,4,NA,4,5,5,4,3,4,4,0,0,0,1,2,1,1.9047619047619,1.21212121212121,0.90260106,29.9320686058126
82,"Italien riksrep",1,1,"1",2,1,NA,5,5,5,3,3,3,3,1,1,0,1,2,1,1.21621621621622,1.11111111111111,0.90260106,27.9600902352672
386,"Italien riksrep",1,1,"2",4,9,NA,2,2,3,2,3,2,3,0,0,0,1,2,0,1.33333333333333,1.17647058823529,0.90260106,20.6309126790573
153,"Italien riksrep",1,1,"2",4,19,NA,5,5,5,1,1,1,1,1,1,1,1,1,0,1.21621621621622,1.11111111111111,0.90260106,23.6267827677519
379,"Italien riksrep",1,1,"2",4,19,NA,5,4,4,2,NA,2,3,1,0,0,1,1,0,NA,1.21739130434783,0.90260106,23.6267827677519
373,"Italien riksrep",1,1,"2",4,8,NA,4,3,4,3,4,2,3,0,0,0,0,0,1,1.73913043478261,1.2,0.90260106,25.3944252589319
22,"Italien riksrep",1,1,"1",3,6,NA,5,5,4,4,3,4,5,0,1,1,1,1,0,1.61290322580645,1.72413793103448,0.90260106,30.6782977878343
470,"Italien riksrep",1,1,"2",4,4,NA,4,4,5,4,2,3,3,0,0,0,NA,2,0,2.85714285714286,2.10526315789474,0.90260106,29.9320686058126
253,"Italien riksrep",1,1,"2",4,1,NA,3,3,2,3,2,2,2,0,0,0,1,1,0,1.30434782608696,2,0.90260106,27.9600902352672
24,"Italien riksrep",1,1,"1",3,18,NA,5,4,5,2,1,3,2,1,1,1,1,2,1,1.31578947368421,1.25,0.90260106,20.7878009348761
397,"Italien riksrep",1,1,"1",3,16,NA,3,5,5,2,4,2,5,1,1,1,1,2,1,1.76470588235294,1.16279069767442,0.90260106,21.4124740394816
172,"Italien riksrep",1,0,"0",1,9,NA,4,4,4,4,3,4,3,1,0,0,NA,NA,0,1.29032258064516,1.14285714285714,0.90260106,20.6309126790573
237,"Italien riksrep",1,0,"0",2,4,NA,5,3,5,3,2,3,3,0,1,0,1,2,1,1.78571428571429,1.07142857142857,0.90260106,29.9320686058126
367,"Italien riksrep",1,0,"1",2,9,NA,5,5,5,2,3,2,3,0,1,1,1,0,0,1.78571428571429,1.31578947368421,0.90260106,20.6309126790573
130,"Italien riksrep",1,0,"1",2,8,NA,3,1,2,4,5,5,4,1,1,1,1,0,0,1,0.344827586206897,0.90260106,25.3944252589319
17,"Italien riksrep",1,0,"1",2,4,NA,2,2,2,2,2,2,2,1,1,0,0,NA,0,1.11111111111111,1.25,0.90260106,29.9320686058126
304,"Italien riksrep",1,0,"1",2,1,NA,4,4,4,3,3,3,2,1,0,1,1,NA,0,1.37931034482759,1.37931034482759,0.90260106,27.9600902352672
14,"Italien riksrep",1,0,"1",3,15,NA,5,4,5,1,1,2,1,0,1,1,0,NA,1,1.28205128205128,1.05263157894737,0.90260106,24.2004089824606
204,"Italien riksrep",1,0,"1",2,15,NA,4,4,5,1,2,3,3,1,0,0,1,NA,1,1.25,1.29032258064516,0.90260106,24.2004089824606
19,"Italien riksrep",1,0,"1",3,8,NA,4,5,5,2,2,3,2,1,1,0,1,NA,0,1.53846153846154,1.5625,0.90260106,25.3944252589319
13,"Italien riksrep",1,0,"1",3,16,NA,5,4,5,3,3,3,3,1,1,0,1,2,1,1.42857142857143,1.14285714285714,0.90260106,21.4124740394816
457,"Italien riksrep",1,0,"2",4,19,NA,5,5,5,5,4,5,5,1,0,0,1,NA,0,1.13636363636364,1.13636363636364,0.90260106,23.6267827677519
406,"Italien riksrep",1,0,"1",3,19,NA,NA,5,5,1,1,2,2,1,NA,1,0,NA,0,NA,1.28205128205128,0.90260106,23.6267827677519
458,"Italien riksrep",1,0,"1",3,6,NA,5,5,5,1,1,1,2,1,0,0,1,2,0,1.72413793103448,1.28205128205128,0.90260106,30.6782977878343
18,"Italien riksrep",1,0,"1",3,6,NA,3,4,4,3,3,3,3,0,1,1,1,2,0,1,1,0.90260106,30.6782977878343
15,"Italien riksrep",1,0,"1",3,4,NA,4,4,4,2,3,2,3,1,0,1,0,0,0,1.73913043478261,1.08108108108108,0.90260106,29.9320686058126
26,"Italien riksrep",1,0,"2",4,4,NA,5,5,5,2,1,2,2,0,0,0,1,1,0,1.92307692307692,1.66666666666667,0.90260106,29.9320686058126
433,"Italien riksrep",1,0,"1",3,15,NA,5,5,5,2,1,4,5,1,1,0,1,2,1,1.38888888888889,1.11111111111111,0.90260106,24.2004089824606
1362,"Italien riksrep",1,0,"1",3,16,NA,5,4,5,2,3,4,3,0,1,1,1,1,1,2.36842105263158,1.48148148148148,0.90260106,21.4124740394816
734,"Italien riksrep",1,1,"0",1,9,NA,5,5,5,3,3,4,5,1,0,0,1,1,0,2.38095238095238,1.21951219512195,0.90260106,20.6309126790573
54,"Italien riksrep",1,1,"0",1,19,NA,4,3,5,3,5,4,3,0,NA,0,1,1,0,1.9047619047619,0.769230769230769,0.90260106,23.6267827677519
376,"Italien riksrep",1,1,"0",1,19,NA,5,4,5,3,3,3,4,0,0,1,1,2,0,1.35135135135135,1.29032258064516,0.90260106,23.6267827677519
156,"Italien riksrep",1,1,"0",1,8,NA,4,4,4,3,3,3,3,1,0,0,1,2,0,1.9047619047619,1.48148148148148,0.90260106,25.3944252589319
145,"Italien riksrep",1,1,"0",1,6,NA,3,4,3,3,4,5,4,0,0,1,1,2,0,1.30434782608696,1.66666666666667,0.90260106,30.6782977878343
209,"Italien riksrep",1,1,"0",1,4,NA,4,4,5,3,4,4,3,1,1,1,1,0,0,2,1.37931034482759,0.90260106,29.9320686058126
337,"Italien riksrep",1,1,"0",1,1,NA,5,5,4,2,3,2,3,1,1,0,0,2,0,1.85185185185185,1.47058823529412,0.90260106,27.9600902352672
161,"Italien riksrep",1,1,"0",1,18,NA,5,5,5,1,3,3,5,1,NA,0,NA,NA,0,2.38095238095238,1.51515151515152,0.90260106,20.7878009348761
1512,"Italien riksrep",1,1,"0",1,15,NA,3,3,3,2,2,3,1,1,0,0,1,NA,0,1.875,0.833333333333333,0.90260106,24.2004089824606
85,"Italien riksrep",1,1,"0",2,11,NA,4,4,5,2,2,3,4,0,1,0,1,1,0,1.48148148148148,1.33333333333333,0.90260106,23.4639123482115
1621,"Italien riksrep",1,1,"0",2,20,NA,4,4,4,3,3,4,4,1,1,1,1,2,0,1.48148148148148,1.14285714285714,0.90260106,19.4341992309909
127,"Italien riksrep",1,1,"0",2,20,NA,5,5,5,1,NA,1,3,NA,0,1,1,1,0,1.5625,1.15384615384615,0.90260106,19.4341992309909
1093,"Italien riksrep",1,1,"0",2,5,NA,5,5,5,2,1,2,2,1,1,0,1,1,1,1.14285714285714,1.18421052631579,0.90260106,18.423050960372
118,"Italien riksrep",1,1,"0",2,3,NA,2,4,4,2,1,2,2,1,1,0,0,1,1,0.833333333333333,1.73913043478261,0.90260106,16.8455022740387
321,"Italien riksrep",1,1,"0",2,4,NA,5,4,4,2,2,3,3,0,1,1,1,NA,0,1.66666666666667,1.21212121212121,0.90260106,29.9320686058126
59,"Italien riksrep",1,1,"0",2,4,NA,5,4,5,3,2,3,3,1,1,1,1,1,0,1.51515151515152,1.6,0.90260106,29.9320686058126
1801,"Italien riksrep",1,1,"0",2,4,NA,5,5,5,1,2,2,4,0,1,1,1,1,1,1.66666666666667,1.5625,0.90260106,29.9320686058126
586,"Italien riksrep",1,1,"0",2,4,NA,5,5,5,1,1,3,1,1,1,1,1,2,0,1.25,1.19047619047619,0.90260106,29.9320686058126
1835,"Italien riksrep",1,1,"0",2,1,NA,4,4,3,3,4,3,4,0,1,0,1,2,0,1.29032258064516,1.53846153846154,0.90260106,27.9600902352672
2001,"Italien riksrep",1,1,"0",2,1,NA,3,4,5,1,2,3,4,0,NA,0,1,NA,1,1.57894736842105,1.17647058823529,0.90260106,27.9600902352672
201,"Italien riksrep",1,1,"0",2,1,NA,5,4,5,1,3,3,4,1,1,0,0,1,0,1.38888888888889,1.21212121212121,0.90260106,27.9600902352672
383,"Italien riksrep",1,1,"0",2,16,NA,3,4,4,2,3,3,3,0,1,0,1,1,0,1.2,1.08108108108108,0.90260106,21.4124740394816
48,"Italien riksrep",1,1,"1",2,11,NA,4,5,5,4,5,4,4,0,1,1,1,2,1,0.975609756097561,1.21951219512195,0.90260106,23.4639123482115
112,"Italien riksrep",1,1,"1",2,9,NA,5,5,5,2,3,2,2,1,0,0,0,2,0,1.72413793103448,1.38888888888889,0.90260106,20.6309126790573
94,"Italien riksrep",1,1,"1",2,9,NA,3,NA,NA,2,2,2,NA,0,1,0,1,NA,0,NA,NA,0.90260106,20.6309126790573
319,"Italien riksrep",1,1,"1",2,20,NA,4,4,4,3,4,4,3,1,0,1,1,0,0,1.14285714285714,1.14285714285714,0.90260106,19.4341992309909
245,"Italien riksrep",1,1,"1",2,19,NA,5,4,5,1,4,1,5,1,1,1,1,1,0,1.5625,1.21212121212121,0.90260106,23.6267827677519
169,"Italien riksrep",1,1,"1",2,19,NA,4,4,3,2,2,2,3,0,1,0,1,2,0,1.73913043478261,1.14285714285714,0.90260106,23.6267827677519
298,"Italien riksrep",1,1,"1",2,8,NA,1,3,4,3,1,1,1,0,1,0,1,2,0,0.454545454545455,1.42857142857143,0.90260106,25.3944252589319
226,"Italien riksrep",1,1,"1",2,8,NA,3,3,3,3,3,3,3,0,1,0,1,1,0,1.2,1.125,0.90260106,25.3944252589319
305,"Italien riksrep",1,1,"1",2,7,NA,3,3,3,4,4,3,3,1,1,0,1,0,1,0.857142857142857,1.15384615384615,0.90260106,17.9856053927895
1847,"Italien riksrep",1,1,"1",2,5,NA,5,4,4,3,3,3,3,1,1,1,1,2,0,1.51515151515152,1.08108108108108,0.90260106,18.423050960372
1476,"Italien riksrep",1,1,"1",2,5,NA,1,1,4,1,3,1,5,1,1,1,1,NA,0,0.416666666666667,0.833333333333333,0.90260106,18.423050960372
278,"Italien riksrep",1,1,"1",3,6,NA,2,3,3,2,3,4,3,1,1,0,1,2,1,0.8,1.15384615384615,0.90260106,30.6782977878343
60,"Italien riksrep",1,1,"1",2,6,NA,4,4,4,2,2,2,2,1,1,1,1,NA,1,1.66666666666667,1.29032258064516,0.90260106,30.6782977878343
259,"Italien riksrep",1,1,"1",2,6,NA,3,3,5,3,3,3,3,0,1,1,1,0,1,1.15384615384615,1.15384615384615,0.90260106,30.6782977878343
372,"Italien riksrep",1,1,"1",2,3,NA,3,3,3,2,2,2,2,0,1,0,0,2,1,1.2,1.11111111111111,0.90260106,16.8455022740387
180,"Italien riksrep",1,1,"1",2,4,NA,5,4,5,4,4,4,4,1,1,1,1,2,0,2.27272727272727,1.66666666666667,0.90260106,29.9320686058126
188,"Italien riksrep",1,1,"1",2,4,NA,5,5,5,4,2,2,3,0,1,1,1,0,1,1.47058823529412,1.28205128205128,0.90260106,29.9320686058126
1503,"Italien riksrep",1,1,"1",2,4,NA,5,5,4,1,2,1,5,1,1,0,0,2,1,2.5,2.63157894736842,0.90260106,29.9320686058126
1940,"Italien riksrep",1,1,"1",2,4,NA,5,3,3,3,3,3,3,0,1,0,1,NA,1,2,1.11111111111111,0.90260106,29.9320686058126
347,"Italien riksrep",1,1,"1",2,4,NA,5,5,5,1,1,4,4,1,1,1,0,NA,1,1.5625,1.31578947368421,0.90260106,29.9320686058126
247,"Italien riksrep",1,1,"1",2,4,NA,5,5,5,1,3,4,4,1,1,0,1,2,0,2.14285714285714,1.875,0.90260106,29.9320686058126
385,"Italien riksrep",1,1,"1",2,1,NA,4,4,4,2,2,1,2,1,1,0,0,NA,0,1.48148148148148,1.33333333333333,0.90260106,27.9600902352672
354,"Italien riksrep",1,1,"1",2,13,NA,NA,5,5,1,3,2,3,0,1,0,1,0,1,NA,1.06060606060606,0.90260106,18.9834615214343
403,"Italien riksrep",1,1,"1",2,15,NA,5,4,5,2,4,2,4,1,1,0,1,NA,0,1.92307692307692,1.11111111111111,0.90260106,24.2004089824606
36,"Italien riksrep",1,1,"1",2,15,NA,4,4,4,2,3,3,4,0,1,1,1,0,1,1.48148148148148,1.66666666666667,0.90260106,24.2004089824606
1627,"Italien riksrep",1,1,"1",2,15,NA,3,4,5,5,3,4,4,1,1,1,1,0,1,0.909090909090909,1.11111111111111,0.90260106,24.2004089824606
83,"Italien riksrep",1,1,"1",2,16,NA,4,4,5,3,2,3,2,1,1,0,0,NA,0,1.42857142857143,1.66666666666667,0.90260106,21.4124740394816
46,"Italien riksrep",1,1,"1",2,16,NA,5,5,5,5,5,5,5,0,1,0,0,0,1,1.51515151515152,2,0.90260106,21.4124740394816
190,"Italien riksrep",1,1,"1",2,16,NA,3,4,4,3,2,4,3,0,1,0,1,2,0,1.42857142857143,1.11111111111111,0.90260106,21.4124740394816
229,"Italien riksrep",1,1,"1",3,11,NA,5,4,5,1,2,2,2,0,1,0,1,NA,0,1.72413793103448,1.66666666666667,0.90260106,23.4639123482115
269,"Italien riksrep",1,1,"1",3,9,NA,5,5,5,3,3,NA,2,1,1,0,1,NA,1,1.85185185185185,1.25,0.90260106,20.6309126790573
1580,"Italien riksrep",1,1,"1",3,9,NA,4,4,4,3,4,4,4,1,1,0,0,NA,1,1.52380952380952,1.63636363636364,0.90260106,20.6309126790573
266,"Italien riksrep",1,1,"1",2,10,NA,5,5,5,1,1,4,2,1,0,1,1,NA,0,1.42857142857143,1.16279069767442,0.90260106,18.7425125092173
73,"Italien riksrep",1,1,"1",3,8,NA,2,3,2,1,2,2,2,0,0,1,1,1,0,1.33333333333333,1.42857142857143,0.90260106,25.3944252589319
107,"Italien riksrep",1,1,"1",3,19,NA,3,4,5,1,3,2,5,1,1,1,1,2,1,1.61538461538462,1.16129032258065,0.90260106,23.6267827677519
87,"Italien riksrep",1,1,"1",3,8,NA,5,5,3,3,3,3,4,1,1,1,1,1,1,1.85185185185185,1.11111111111111,0.90260106,25.3944252589319
421,"Italien riksrep",1,1,"1",3,8,NA,5,4,4,NA,2,4,3,0,1,0,0,0,0,1.66666666666667,1.37931034482759,0.90260106,25.3944252589319
349,"Italien riksrep",1,1,"1",3,6,NA,4,4,5,2,2,2,2,1,1,1,1,1,0,1.66666666666667,1.33333333333333,0.90260106,30.6782977878343
660,"Italien riksrep",1,1,"1",3,6,NA,5,5,5,1,2,1,3,0,1,1,1,2,1,4.54545454545454,1.61290322580645,0.90260106,30.6782977878343
76,"Italien riksrep",1,1,"1",3,6,NA,4,4,4,2,2,2,2,1,1,0,1,2,0,1.66666666666667,1.48148148148148,0.90260106,30.6782977878343
476,"Italien riksrep",1,1,"1",3,3,NA,4,4,5,1,3,5,4,1,1,0,1,2,0,1.42857142857143,1.05263157894737,0.90260106,16.8455022740387
297,"Italien riksrep",1,1,"1",3,4,NA,5,5,4,2,2,2,4,1,1,0,1,0,0,2,1.72413793103448,0.90260106,29.9320686058126
139,"Italien riksrep",1,1,"1",3,4,NA,4,4,3,3,3,3,3,0,0,0,1,2,0,1.53846153846154,1.33333333333333,0.90260106,29.9320686058126
121,"Italien riksrep",1,0,"1",2,4,NA,5,5,5,3,3,4,4,1,1,1,1,1,0,1.66666666666667,1.31578947368421,0.90260106,29.9320686058126
315,"Italien riksrep",1,1,"1",3,1,NA,2,3,2,3,2,5,4,0,1,0,1,NA,1,0.869565217391304,1.11111111111111,0.90260106,27.9600902352672
255,"Italien riksrep",1,1,"1",3,1,NA,4,4,5,3,4,4,5,0,1,1,1,1,0,1.53846153846154,1.21212121212121,0.90260106,27.9600902352672
426,"Italien riksrep",1,1,"1",3,18,NA,5,5,5,2,2,3,3,0,0,0,0,0,0,1.47058823529412,1.35135135135135,0.90260106,20.7878009348761
318,"Italien riksrep",1,1,"1",3,18,NA,5,5,5,2,1,2,3,1,1,1,0,1,0,1.31578947368421,1.11111111111111,0.90260106,20.7878009348761
