"INTNR","kvotgrupp","BG_COUNTRY","BG_Gender","BG_Age","AGE_ITA","MUN_ITA","NUTS2","lik_airp","imp_ind_airp","imp_oth_airp","prep_aut_airp","prep_ind_airp","know_aut_airp","know_ind_airp","exper_airp","work","education","income","politic","smoke","lik_airp_rel","imp_ind_airp_rel","we","PM10_mean"
55,"Italien Rom",1,0,"1",3,12,NA,5,4,5,3,2,3,3,1,1,1,1,NA,1,1.85185185185185,1.66666666666667,0.09739894,22.516175425755
453,"Italien Rom",1,0,"1",3,12,NA,4,4,5,4,4,3,3,1,1,1,1,2,0,1.66666666666667,1.81818181818182,0.09739894,22.516175425755
1903,"Italien Rom",1,0,"1",3,12,NA,3,4,5,3,2,3,4,1,1,0,1,1,0,1.875,1.6,0.09739894,22.516175425755
1601,"Italien Rom",1,0,"1",3,12,NA,4,4,5,4,3,4,4,1,0,0,0,0,0,1.48148148148148,1.33333333333333,0.09739894,22.516175425755
574,"Italien Rom",1,0,"1",3,12,NA,4,4,5,4,2,3,2,1,NA,1,NA,1,0,1.17647058823529,1.29032258064516,0.09739894,22.516175425755
1832,"Italien Rom",1,0,"1",3,12,NA,1,5,5,4,4,4,4,0,1,0,1,NA,0,1,1.11111111111111,0.09739894,22.516175425755
98,"Italien Rom",1,0,"1",3,12,NA,5,5,5,3,4,3,4,1,1,1,1,1,0,2.14285714285714,1.25,0.09739894,22.516175425755
41,"Italien Rom",1,0,"1",3,12,NA,2,2,5,1,2,2,2,0,0,0,0,1,0,1.42857142857143,0.8,0.09739894,22.516175425755
78,"Italien Rom",1,0,"1",3,12,NA,4,3,4,1,2,1,4,1,1,1,1,2,0,1.81818181818182,1.36363636363636,0.09739894,22.516175425755
2023,"Italien Rom",1,0,"1",3,12,NA,3,3,4,2,1,2,2,0,0,0,1,1,0,1.6875,1.66666666666667,0.09739894,22.516175425755
168,"Italien Rom",1,0,"1",3,12,NA,5,5,5,2,1,3,3,0,0,0,0,1,1,1.42857142857143,1.11111111111111,0.09739894,22.516175425755
333,"Italien Rom",1,0,"1",3,12,NA,3,4,5,4,2,3,3,1,0,0,1,1,0,1.42857142857143,1.05882352941176,0.09739894,22.516175425755
195,"Italien Rom",1,0,"1",3,12,NA,5,5,5,3,1,3,4,1,NA,0,1,2,0,1.5,1.33333333333333,0.09739894,22.516175425755
463,"Italien Rom",1,0,"1",3,12,NA,5,3,4,2,4,3,3,0,1,1,1,2,1,1.47058823529412,0.967741935483871,0.09739894,22.516175425755
1996,"Italien Rom",1,0,"1",3,12,NA,5,4,5,4,1,4,3,0,1,0,1,2,0,2.36842105263158,1.16666666666667,0.09739894,22.516175425755
471,"Italien Rom",1,0,"1",3,12,NA,NA,5,5,3,NA,5,NA,1,0,0,0,NA,0,NA,1.11111111111111,0.09739894,22.516175425755
301,"Italien Rom",1,0,"1",3,12,NA,5,5,5,1,NA,5,NA,1,1,1,NA,NA,0,1.8,NA,0.09739894,22.516175425755
275,"Italien Rom",1,0,"1",3,12,NA,5,5,5,1,1,2,2,1,0,0,1,0,0,NA,1.21951219512195,0.09739894,22.516175425755
137,"Italien Rom",1,0,"1",3,12,NA,NA,4,5,NA,3,NA,3,1,1,0,1,2,0,NA,0.933333333333333,0.09739894,22.516175425755
335,"Italien Rom",1,0,"1",3,12,NA,5,4,5,4,4,4,4,0,0,0,1,1,0,1.85185185185185,1.29032258064516,0.09739894,22.516175425755
398,"Italien Rom",1,1,"1",3,12,NA,4,3,4,4,4,4,4,1,1,1,1,1,0,1.11111111111111,1.07142857142857,0.09739894,22.516175425755
